Estação,N__Lab_,X,Y,Folha,Ag (ppm),Al (%),As (ppm),Ba (ppm),Be,Bi (ppm),Ca (%),Cd (ppm),Ce (ppm),Co (ppm),Cr (ppm),Cs (ppm),Cu (ppm),Fe (%),Ga (ppm),Hf (ppm),Hg (ppm),In (ppm),K (%),La (ppm),Li (ppm),LREE (ppm),Mg (%),Mn (ppm),Mo (ppm),Nb (ppm),Ni (ppm),P (ppm),Pb (ppm),Rb (ppm),Sb (ppm),Sc (ppm),Sn (ppm),Sr (ppm),Th (ppm),Ti (%),U (ppm),V (ppm),W (ppm),Y (ppm),Zn (ppm),Zr (ppm)
SQ-0015,CDE388,289975,7901686,Patos de Minas,0.12,9.24,8.0,53.0,3.1,0.43,0.06,0.06,102.01,7.2,75,5.31,47.4,4.59,26.4,0.19,0.06,0.09,0.08,82.8,10.0,184.81,0.02,142,1.03,0.79,18.3,648.0,32.8,10.4,0.64,17.4,3.4,6.2,10.7,0.02,2.6,129,0.3,15.76,27,9.1
SQ-0016,CDI 257,340397,7933862,Patos de Minas,0.06,1.91,5.0,113.0,1.1,0.28,0.03,0.12,80.47,17.1,98,1.48,33.1,4.48,9.2,0.2,0.01,0.04,0.17,35.6,9.0,116.07,0.07,544,0.63,1.0,25.3,488.0,47.1,14.8,0.72,5.8,1.6,10.3,9.4,0.04,1.08,61,0.2,7.22,40,7.7
SQ-0017,CDI 258,340352,7939523,Patos de Minas,0.05,4.58,6.0,107.0,1.0,0.34,0.13,0.05,127.31,7.5,96,3.45,31.9,5.34,17.1,0.16,0.09,0.07,0.24,37.7,12.0,165.01,0.09,608,1.26,1.74,25.0,680.0,23.3,38.9,0.73,11.8,3.4,16.8,11.4,0.05,1.37,103,0.1,7.06,36,8.0
SQ-0018,CDI 259,339477,7948268,Patos de Minas,0.1,3.91,5.0,646.0,2.2,0.21,0.13,0.24,200.76,65.0,179,1.82,89.0,14.59,22.5,0.39,0.03,0.11,0.15,96.8,8.0,297.56,0.14,2038,0.85,3.05,107.6,2733.0,34.7,20.5,0.52,23.8,5.1,194.7,13.4,0.25,2.8,201,0.8,17.88,55,23.6
SQ-0019,CDI 260,336867,7948790,Patos de Minas,0.04,2.11,4.0,347.0,1.2,0.18,0.09,0.29,112.56,27.0,202,1.45,45.8,6.81,11.8,0.71,0.01,0.05,0.15,56.7,7.0,169.26,0.11,960,0.63,2.07,59.7,1317.0,32.7,19.0,0.51,12.1,2.6,90.8,9.7,0.16,1.75,112,0.5,10.41,44,33.9
SQ-0020A,CDI 261,339604,7952821,Patos de Minas,0.23,2.31,1.0,1429.0,3.1,0.08,0.29,0.41,281.82,81.0,835,1.46,102.4,14.84,21.8,0.3,0.04,0.13,0.26,155.9,8.0,437.72,0.91,2069,0.28,3.16,234.8,2669.0,43.3,37.6,0.27,27.9,5.2,354.3,21.9,0.97,3.49,225,0.8,24.83,96,17.8
SQ-0021,CDI 262,337232,7952778,Patos de Minas,0.11,2.86,2.0,1750.0,4.0,0.1,0.35,0.3,319.16,76.7,377,2.07,105.2,12.9,22.2,0.22,0.03,0.13,0.32,175.7,9.0,494.86,0.82,2038,0.45,3.47,204.9,3548.0,22.9,50.0,0.27,28.4,5.4,435.1,18.2,0.69,3.38,208,0.8,29.3,101,10.2
SQ-0022,CDI 263,336135,7942954,Patos de Minas,0.09,1.53,10.0,194.0,1.6,0.4,0.08,0.24,100.79,43.1,168,1.42,67.4,7.5,10.8,0.48,0.03,0.05,0.13,51.8,12.0,152.59,0.16,1724,0.9,0.72,61.7,883.0,54.6,12.1,0.94,10.2,1.8,28.5,9.4,0.07,1.7,110,0.5,12.73,80,11.4
SQ-0023,CDI 264,336352,7942438,Patos de Minas,0.03,1.36,7.0,81.0,1.2,0.25,0.07,0.27,57.58,16.3,38,1.35,21.9,3.4,6.9,0.18,0.02,0.03,0.1,29.8,6.0,87.38,0.06,639,0.49,0.48,21.7,481.0,32.9,10.1,0.51,4.1,1.3,8.9,5.7,0.02,0.79,44,0.2,9.51,38,5.6
SQ-0024,CDI 265,335287,7949753,Patos de Minas,0.07,2.04,3.0,1184.0,3.6,0.22,0.26,0.72,205.08,56.6,152,2.12,97.8,7.98,14.2,0.44,0.01,0.09,0.3,119.6,10.0,324.68,0.62,1464,0.42,3.32,139.8,2803.0,43.6,52.4,0.35,18.8,3.4,259.3,12.1,0.37,2.28,148,0.4,22.78,85,29.9
SQ-0025,CDI 266,335059,7948312,Patos de Minas,0.06,1.53,6.0,501.0,1.7,0.31,0.18,0.45,127.31,42.9,171,1.67,55.9,6.27,10.0,0.76,0.04,0.06,0.19,66.2,10.0,193.51,0.47,1369,0.64,1.82,90.4,1363.0,45.3,24.1,0.69,10.5,2.2,95.8,10.3,0.23,1.56,102,0.5,14.89,70,37.5
SQ-0026,CDI 267,335904,7946921,Patos de Minas,0.05,1.72,11.0,112.0,1.1,0.41,0.04,1.9,95.4,28.2,62,1.93,48.8,5.16,9.4,0.26,0.01,0.03,0.13,48.7,9.0,144.1,0.08,1344,0.84,0.65,35.7,560.0,70.9,14.0,0.8,6.2,1.6,10.6,10.0,0.03,1.22,66,1.1,12.73,51,7.4
