Estação,N__Lab_,X,Y,Folha,Ag (ppm),Al (%),As (ppm),Ba (ppm),Be,Bi (ppm),Ca (%),Cd (ppm),Ce (ppm),Co (ppm),Cr (ppm),Cs (ppm),Cu (ppm),Fe (%),Ga (ppm),Hf (ppm),Hg (ppm),In (ppm),K (%),La (ppm),Li (ppm),LREE (ppm),Mg (%),Mn (ppm),Mo (ppm),Nb (ppm),Ni (ppm),P (ppm),Pb (ppm),Rb (ppm),Sb (ppm),Sc (ppm),Sn (ppm),Sr (ppm),Th (ppm),Ti (%),U (ppm),V (ppm),W (ppm),Y (ppm),Zn (ppm),Zr (ppm)
LG-0045,CDI 210,318788,7932140,Patos de Minas,0.07,1.2,9.0,49.0,1.0,0.31,0.04,0.04,49.39,19.3,36,0.76,55.2,4.0,6.0,0.12,0.01,0.02,0.15,24.0,9.0,73.39,0.06,519,4.12,0.31,20.1,420.0,18.8,11.0,0.44,3.1,0.8,4.3,6.2,0.01,0.74,25,0.5,4.02,67,2.1
LG-0046,CDI 211,337472,7927880,Patos de Minas,0.04,1.35,9.0,62.0,1.1,0.33,0.03,0.05,72.71,16.3,28,0.87,28.4,3.97,7.9,0.13,0.01,0.02,0.09,36.1,4.0,108.81,0.02,556,0.69,0.34,19.7,435.0,20.4,9.0,0.45,4.4,1.0,2.8,7.9,0.01,0.93,40,0.3,9.42,41,2.3
LG-0047,CDI 212,335252,7929672,Patos de Minas,0.08,3.92,12.0,100.0,0.8,0.48,0.02,0.03,77.17,17.0,82,1.08,36.4,6.85,17.1,0.44,0.02,0.07,0.13,32.4,4.0,109.57,0.02,608,3.08,0.76,28.6,416.0,27.1,11.2,0.91,10.8,2.3,3.6,10.3,0.02,1.41,95,0.5,10.11,31,12.8
LG-0048,CDI 213,319957,7929817,Patos de Minas,0.07,1.02,17.0,112.0,0.9,0.49,0.03,0.03,74.0,22.7,27,0.78,42.2,5.21,7.9,0.18,0.01,0.03,0.11,33.6,5.0,107.6,0.05,841,0.82,0.25,25.9,407.0,40.3,9.0,0.56,3.8,0.7,4.6,9.8,0.01,1.23,46,0.4,8.09,53,2.7
LG-0049,CDI 214,319743,7930570,Patos de Minas,0.05,1.14,8.0,44.0,0.8,0.3,0.03,0.05,85.15,18.0,43,0.68,26.7,3.72,6.0,0.09,0.01,0.02,0.11,38.8,6.0,123.95,0.03,434,4.9,0.45,20.1,436.0,19.4,8.9,0.49,3.1,0.8,4.2,6.4,0.01,0.83,29,0.7,4.4,50,2.5
LG-0050A,CDI 215,323824,7934251,Patos de Minas,0.04,1.05,6.0,103.0,0.9,0.3,0.1,0.05,67.56,10.7,21,1.04,31.7,3.49,6.1,0.08,0.01,0.02,0.11,37.4,8.0,104.96,0.04,199,0.52,0.19,15.7,464.0,20.2,10.5,0.62,3.3,0.8,5.4,6.8,0.01,0.95,28,0.5,8.5,58,2.0
LG-0051,CDI 216,321423,7927464,Patos de Minas,0.12,3.37,14.0,96.0,0.9,0.35,0.05,0.12,79.94,16.8,44,1.34,32.0,4.98,12.9,0.19,0.03,0.04,0.18,29.4,6.0,109.34,0.06,471,1.27,0.62,23.9,543.0,27.1,18.8,0.81,9.4,2.1,2.9,8.5,0.01,1.46,77,1.3,8.08,44,7.4
LG-0052,CDI 217,326097,7935115,Patos de Minas,0.03,0.93,8.0,66.0,0.8,0.29,0.05,0.11,75.77,18.6,24,0.74,26.5,4.22,5.6,0.14,0.04,0.02,0.13,36.3,5.0,112.07,0.03,522,0.57,0.23,17.9,493.0,29.1,10.1,0.57,3.4,0.8,3.7,6.5,0.01,0.94,35,0.6,8.0,42,3.7
LG-0053,CDI 218,325964,7928678,Patos de Minas,0.05,1.03,10.0,62.0,0.7,0.27,0.03,0.05,66.43,16.3,23,0.89,22.2,3.37,5.8,0.09,0.01,0.02,0.14,35.6,5.0,102.03,0.04,485,0.65,0.3,17.1,349.0,19.8,11.3,0.46,3.6,0.9,3.8,6.8,0.01,0.84,34,0.1,6.76,36,2.6
LG-0054,CDI 219,328902,7936162,Patos de Minas,0.08,1.56,8.0,93.0,1.3,0.32,0.03,0.11,74.2,9.0,31,0.96,29.8,3.82,8.4,0.1,0.01,0.03,0.14,40.3,5.0,114.5,0.03,232,0.61,0.98,17.4,494.0,27.5,12.1,0.59,5.6,1.3,3.0,6.7,0.01,1.12,46,0.6,13.14,39,3.2
LG-0055,CDI 220,331602,7934609,Patos de Minas,0.03,1.79,10.0,155.0,1.4,0.3,0.11,0.19,61.43,23.4,74,0.91,32.6,5.44,10.2,0.2,0.01,0.05,0.16,30.3,4.0,91.73,0.05,1406,1.23,0.65,26.7,529.0,29.1,12.4,0.61,8.8,1.5,6.7,6.7,0.01,1.28,88,0.6,11.9,46,5.4
MR-0201,CDD695,308298,7925486,Patos de Minas,0.02,0.82,4.0,62.0,0.4,0.14,0.03,0.01,35.77,6.9,27,0.41,17.6,3.0,4.4,0.05,0.03,0.04,0.11,15.7,1.0,51.47,0.03,216,0.75,0.5,12.0,220.0,12.0,7.9,0.28,3.5,0.8,4.3,5.8,0.02,0.77,47,0.2,2.4,21,3.3
MR-0202,CDD696,308958,7925544,Patos de Minas,0.03,1.22,6.0,52.0,0.8,0.18,0.02,0.03,52.56,8.0,24,0.82,17.7,2.94,5.1,0.13,0.02,0.02,0.11,22.6,3.0,75.16,0.03,164,0.62,0.43,11.3,249.0,20.7,9.4,0.22,4.2,0.9,3.0,7.4,0.01,1.0,42,0.2,3.7,35,5.5
MR-0203,CDD697,305099,7922726,Patos de Minas,0.02,1.07,3.0,75.0,0.6,0.1,0.06,0.02,42.58,3.7,19,0.32,13.6,2.05,3.8,0.05,0.01,0.02,0.1,18.1,1.0,60.68,0.03,136,0.49,0.4,9.5,308.0,8.7,9.8,0.1,3.7,0.9,9.0,5.7,0.01,0.89,25,0.1,2.22,25,2.3
MR-0204,CDD698,306689,7923277,Patos de Minas,0.03,1.36,4.0,67.0,0.8,0.16,0.04,0.01,48.62,6.9,29,0.65,16.7,2.87,5.6,0.13,0.02,0.03,0.1,19.5,2.0,68.12,0.04,189,0.63,0.72,12.2,274.0,12.6,9.3,0.23,4.5,1.0,6.4,6.7,0.02,0.91,45,0.1,3.06,24,6.4
MR-0205,CDD699,302787,7919592,Patos de Minas,0.07,4.28,14.0,200.0,1.3,0.33,0.13,0.02,105.95,33.9,66,3.13,35.9,12.45,13.5,0.31,0.07,0.02,0.13,27.9,9.0,133.85,0.05,1360,1.51,2.2,33.3,1242.0,16.1,27.7,0.42,10.4,12.5,18.2,10.8,0.03,1.63,107,0.1,6.36,65,18.6
MR-0206,CDD700,303091,7916937,Patos de Minas,0.08,4.09,4.0,151.0,1.0,0.2,0.07,0.03,103.68,12.3,111,2.45,34.0,6.02,13.9,0.56,0.02,0.08,0.11,23.7,4.0,127.38,0.09,416,1.38,4.23,35.8,1511.0,9.4,15.5,0.52,11.5,2.9,15.0,10.8,0.11,1.78,145,0.2,5.6,37,49.3
MR-0207,CDD701,308152,7915221,Patos de Minas,0.06,3.94,4.0,258.0,2.0,0.16,0.27,0.08,181.69,108.2,1101,0.92,61.4,11.5,16.0,0.73,0.09,0.07,0.04,50.5,3.0,232.19,0.2,641,1.65,8.63,588.0,2320.0,9.4,9.3,0.46,20.1,35.2,46.5,13.2,0.22,2.82,214,0.3,13.54,174,42.1
MR-0208,CDD702,305455,7913164,Patos de Minas,0.02,1.45,4.0,237.0,1.8,0.08,0.23,0.09,170.95,196.8,4180,0.31,29.8,15.0,8.8,1.02,0.05,0.1,0.02,69.3,1.0,240.25,2.25,2595,1.27,4.16,1284.8,1315.0,4.9,1.8,0.3,13.0,2.9,51.2,13.2,0.57,2.2,197,0.9,9.62,171,36.1
MR-0209,CDD703,304352,7911327,Patos de Minas,0.05,1.93,3.0,244.0,2.2,0.08,0.23,0.26,291.99,262.2,3158,0.44,35.1,15.0,12.0,0.99,0.03,0.1,0.01,175.3,1.0,467.29,3.7,3169,1.42,3.72,1565.0,1480.0,5.5,1.4,0.22,16.5,2.8,38.9,20.1,0.54,1.95,168,0.1,19.66,194,34.5
MR-0210A,CDD704,305888,7907352,Patos de Minas,0.03,11.09,6.0,96.0,2.3,0.42,0.1,0.1,158.02,17.0,1587,0.22,28.3,8.71,33.8,0.53,0.07,0.17,0.01,42.1,1.0,200.12,0.07,185,3.62,21.7,118.7,2388.0,11.3,0.7,0.83,15.9,10.4,16.2,31.4,0.11,3.53,274,0.5,12.14,58,29.6
MR-0211,CDD705,305520,7915678,Patos de Minas,0.05,3.32,2.0,104.0,0.4,0.1,0.08,0.08,163.73,19.2,717,0.4,25.4,7.26,14.0,1.04,0.03,0.08,0.01,31.1,1.0,194.83,0.16,439,1.53,5.02,148.8,919.0,6.2,1.1,0.45,12.5,3.4,19.5,16.8,0.25,2.15,186,0.3,3.86,51,70.6
MR-0212,CDD706,307288,7917333,Patos de Minas,0.03,1.72,2.0,137.0,1.1,0.07,0.09,0.05,73.16,19.2,757,0.51,22.8,4.53,8.0,0.49,0.01,0.08,0.03,23.3,2.0,96.46,0.1,528,0.93,4.67,136.1,1008.0,4.9,3.1,0.26,7.5,2.1,25.6,8.1,0.2,1.38,102,0.1,5.37,87,28.8
MR-0213,CDI 221,316437,7932128,Patos de Minas,0.04,1.16,27.0,299.0,0.8,0.56,0.02,0.09,90.58,34.4,31,1.05,48.8,5.73,7.7,0.2,0.02,0.04,0.16,39.1,6.0,129.68,0.05,1324,0.98,0.31,29.3,397.0,68.8,13.1,0.9,4.8,0.8,6.6,11.3,0.01,1.51,61,0.4,9.86,46,3.4
MR-0214,CDI 222,315478,7932620,Patos de Minas,0.09,1.24,26.0,443.0,0.6,0.6,0.02,0.09,106.73,43.7,33,1.04,54.4,5.77,8.4,0.39,0.02,0.02,0.15,48.4,8.0,155.13,0.06,1805,0.82,0.55,31.8,356.0,81.1,12.7,0.75,4.6,0.9,6.6,12.2,0.01,1.64,63,0.1,12.3,50,1.1
MR-0215,CDI 223,315631,7933104,Patos de Minas,0.03,1.54,11.0,71.0,0.7,0.31,0.03,0.08,31.71,12.6,24,1.28,27.9,5.75,6.3,0.09,0.02,0.04,0.13,12.9,5.0,44.61,0.03,330,1.23,0.44,20.6,567.0,22.2,13.5,0.98,4.9,1.0,7.3,6.3,0.01,0.89,43,0.2,4.13,42,3.3
MR-0216,CDI 224,317205,7929885,Patos de Minas,0.04,1.28,23.0,164.0,0.9,0.79,0.07,0.13,74.1,42.1,31,1.11,69.4,5.96,9.2,0.13,0.04,0.05,0.19,41.9,13.0,116.0,0.06,2125,1.39,0.26,43.7,521.0,49.5,16.5,0.89,5.8,1.0,9.8,10.2,0.01,1.4,54,0.3,9.27,54,0.5
MR-0217,CDI 225,311139,7931355,Patos de Minas,0.04,0.67,6.0,55.0,0.7,0.2,0.02,0.11,57.15,13.0,18,0.85,19.1,2.68,3.9,0.13,0.01,0.02,0.11,27.4,3.0,84.55,0.04,301,0.41,0.21,13.3,230.0,26.8,11.2,0.36,2.4,0.7,3.5,8.2,0.01,1.12,33,0.2,6.06,28,4.5
MR-0218,CDI 226,311492,7938343,Patos de Minas,0.04,2.89,6.0,73.0,0.6,0.25,0.02,0.08,48.87,13.2,43,1.26,26.3,2.43,11.9,0.11,0.01,0.05,0.1,24.0,4.0,72.87,0.03,241,0.83,0.56,21.7,310.0,19.6,9.2,0.39,5.4,2.0,8.3,9.2,0.02,1.18,66,0.4,10.17,33,7.9
MR-0219,CDI 227,312328,7940681,Patos de Minas,0.07,1.73,18.0,81.0,1.1,0.52,0.03,0.21,85.36,28.3,44,1.43,42.6,6.28,9.7,0.11,0.02,0.05,0.13,34.8,8.0,120.16,0.07,708,1.53,0.47,30.0,425.0,35.1,11.8,0.78,5.4,1.5,8.3,12.8,0.01,1.2,72,0.7,8.72,55,3.4
MR-0220A,CDI 228,313358,7936641,Patos de Minas,0.06,0.99,17.0,200.0,0.9,0.4,0.02,0.16,91.9,25.4,25,0.86,46.1,4.8,6.5,0.18,0.02,0.02,0.15,39.4,6.0,131.3,0.06,877,0.74,0.25,25.6,342.0,54.4,14.1,0.74,3.9,0.9,6.7,12.0,0.01,1.53,61,0.8,7.79,41,5.2
MR-0221,CDI 229,310136,7939132,Patos de Minas,0.08,1.1,2.0,5.0,0.1,0.12,0.01,0.06,6.13,0.4,14,0.13,4.6,0.75,5.0,0.06,0.01,0.02,0.01,3.3,1.0,9.43,0.01,36,0.59,0.42,2.1,58.0,11.0,0.9,0.18,2.5,1.5,0.6,2.6,0.01,0.22,24,0.2,0.88,4,3.6
MR-0222,CDI 230,305176,7939423,Patos de Minas,0.13,4.69,1.0,22.0,1.0,0.21,0.02,0.15,52.37,0.9,38,1.58,14.8,1.44,14.8,0.09,0.06,0.07,0.04,39.2,3.0,91.57,0.01,81,1.04,0.39,8.5,693.0,39.6,3.8,0.24,4.5,2.4,2.0,3.2,0.01,0.69,141,0.6,9.46,30,3.0
MR-0223,CDI 231,310390,7928631,Patos de Minas,0.02,0.52,6.0,58.0,0.5,0.17,0.01,0.09,52.89,9.9,15,0.51,15.9,2.91,2.8,0.12,0.01,0.02,0.11,23.6,1.0,76.49,0.02,307,0.52,0.33,10.1,177.0,32.2,8.4,0.42,2.6,0.6,3.5,7.8,0.01,1.08,37,0.6,3.72,27,4.7
MR-0224,CDI 232,307095,7928458,Patos de Minas,0.05,0.55,6.0,44.0,0.2,0.12,0.01,0.2,20.65,4.9,28,0.25,15.7,2.38,3.5,0.14,0.01,0.02,0.06,9.2,1.0,29.85,0.02,181,0.71,0.72,11.1,138.0,19.0,5.1,0.35,2.8,0.9,2.9,4.8,0.02,0.7,42,0.7,1.74,14,5.7
MR-0225,CDI 233,306547,7930616,Patos de Minas,0.07,1.22,6.0,38.0,0.3,0.17,0.01,0.1,26.44,4.4,24,0.62,21.3,2.98,5.7,0.13,0.01,0.04,0.08,8.9,1.0,35.34,0.02,129,0.54,0.44,9.2,217.0,14.6,7.7,0.3,4.5,1.3,3.8,6.5,0.01,0.75,40,0.3,1.4,13,9.2
MR-0226,CDI 234,306537,7931215,Patos de Minas,0.08,1.1,4.0,72.0,0.4,0.15,0.01,0.06,45.73,3.5,41,0.64,17.6,1.85,4.8,0.07,0.01,0.03,0.09,18.7,2.0,64.43,0.02,64,0.7,0.83,10.1,269.0,17.9,11.1,0.39,3.7,1.5,4.5,7.4,0.01,1.19,81,0.2,2.76,16,4.6
MR-0227,CDI 235,306152,7931134,Patos de Minas,0.06,0.79,4.0,38.0,0.2,0.14,0.01,0.04,21.62,3.6,25,0.36,27.2,2.3,4.1,0.21,0.04,0.02,0.09,10.0,1.0,31.62,0.02,116,0.61,0.53,7.9,111.0,15.6,7.8,0.32,3.2,1.1,4.0,5.1,0.02,0.64,41,0.6,2.4,14,9.1
MR-0228,CDI 236,301640,7932287,Patos de Minas,0.06,6.74,6.0,24.0,0.3,0.38,0.01,0.03,21.66,1.1,72,0.69,13.7,2.71,24.3,0.23,0.03,0.11,0.04,11.5,1.0,33.16,0.01,63,1.76,0.98,8.4,289.0,17.0,3.3,0.37,9.8,3.6,2.5,9.8,0.01,0.71,122,0.1,3.17,17,13.9
MR-0229,CDI 237,306329,7936497,Patos de Minas,0.08,5.98,4.0,34.0,0.7,0.32,0.01,0.19,41.0,0.9,51,0.51,19.6,2.35,19.8,0.24,0.12,0.07,0.03,33.3,1.0,74.3,0.01,32,1.41,4.09,8.2,903.0,42.6,1.6,0.36,6.4,2.9,2.3,5.9,0.01,0.76,99,0.5,7.32,12,7.0
MR-0230A,CDI 238,310091,7934642,Patos de Minas,0.02,0.66,2.0,33.0,0.2,0.1,0.01,0.04,29.21,4.1,11,0.35,8.3,1.49,2.9,0.05,0.01,0.02,0.05,12.0,1.0,41.21,0.01,104,0.37,0.19,4.2,126.0,10.5,5.2,0.19,2.0,0.7,2.2,5.1,0.01,0.58,24,0.1,2.02,7,4.2
MR-0231,CDI 239,305326,7953536,Patos de Minas,0.04,0.3,2.0,45.0,0.3,0.08,0.02,0.12,35.02,3.4,5,0.33,6.7,1.15,1.6,0.06,0.01,0.02,0.1,17.6,1.0,52.62,0.02,135,0.22,0.26,3.8,97.0,12.2,7.3,0.16,1.1,0.5,2.5,5.7,0.01,0.63,9,0.3,3.16,8,3.8
MR-0232,CDI 240,315543,7938235,Patos de Minas,0.05,0.74,18.0,182.0,0.6,0.51,0.02,0.17,84.42,24.8,30,0.78,40.5,6.23,5.9,0.33,0.01,0.03,0.14,28.6,4.0,113.02,0.03,915,1.06,0.36,25.7,334.0,47.4,9.8,1.07,4.2,0.7,8.7,10.5,0.01,1.55,60,0.7,5.66,35,8.0
SM-0141,CDE068,301641,7914572,Patos de Minas,0.09,2.7,4.0,167.0,0.7,0.11,0.09,0.11,65.1,15.7,85,1.22,21.7,6.06,8.7,0.37,0.02,0.02,0.05,15.1,1.0,80.2,0.05,775,1.02,2.85,26.8,471.0,12.3,5.6,0.32,8.0,2.0,18.2,6.6,0.07,1.06,82,0.1,3.67,75,18.8
SM-0142,CDE069,300940,7915091,Patos de Minas,0.08,2.54,3.0,187.0,1.0,0.11,0.09,0.05,70.66,12.9,73,1.93,56.9,3.97,7.9,0.26,0.01,0.03,0.1,23.4,5.0,94.06,0.07,538,0.92,2.52,31.7,550.0,10.7,11.1,0.3,8.0,2.0,28.4,5.8,0.06,1.2,75,0.1,5.73,42,12.1
SM-0143,CDE070,301841,7915836,Patos de Minas,0.07,2.13,3.0,151.0,1.0,0.13,0.06,0.1,55.34,16.5,67,1.58,25.3,4.34,6.7,0.46,0.03,0.02,0.11,19.0,3.0,74.34,0.09,607,0.68,3.0,28.2,513.0,11.7,12.5,0.28,6.9,1.7,19.6,6.1,0.09,1.0,71,0.2,4.06,29,24.7
SM-0144,CDE071,298745,7921853,Patos de Minas,0.03,1.61,6.0,68.0,0.5,0.22,0.02,0.06,43.75,8.1,35,0.69,21.3,3.91,5.4,0.18,0.05,0.02,0.13,20.2,1.0,63.95,0.03,249,0.77,0.44,12.6,234.0,16.9,8.1,0.35,4.0,1.1,5.7,7.6,0.01,0.79,40,0.3,3.05,24,8.7
SM-0145,CDE072,299311,7909226,Patos de Minas,0.06,0.75,2.0,173.0,0.6,0.06,0.07,0.13,33.39,9.8,33,0.61,12.2,2.14,2.3,0.11,0.01,0.02,0.05,14.3,1.0,47.69,0.06,564,0.5,2.19,17.2,368.0,13.3,5.5,0.17,2.8,1.2,27.4,2.5,0.06,0.53,33,0.1,3.09,16,4.8
SM-0146,CDE073,296507,7909706,Patos de Minas,0.07,3.17,3.0,132.0,1.3,0.16,0.08,0.09,63.32,11.0,71,2.21,23.9,3.76,7.5,0.28,0.02,0.02,0.09,20.0,5.0,83.32,0.06,249,0.79,2.47,24.7,513.0,14.3,9.6,0.34,7.4,2.4,16.4,6.2,0.07,1.12,81,0.2,4.34,32,16.3
SM-0147,CDE074,296300,7908339,Patos de Minas,0.07,1.36,2.0,159.0,0.8,0.1,0.04,0.14,46.19,7.9,46,0.89,14.7,2.59,3.7,0.18,0.01,0.02,0.05,18.2,2.0,64.39,0.05,270,0.57,1.96,18.0,326.0,16.2,5.3,0.2,4.3,1.5,26.7,4.0,0.06,0.71,52,0.1,3.94,14,8.9
SM-0148,CDE075,296341,7905752,Patos de Minas,0.04,0.88,2.0,130.0,0.7,0.05,0.02,0.04,33.65,4.9,46,0.61,13.8,2.57,2.8,0.21,0.01,0.02,0.03,14.7,1.0,48.35,0.03,140,0.43,1.74,18.0,374.0,5.2,3.3,0.12,3.3,1.3,25.8,3.1,0.06,0.57,44,0.1,2.95,13,11.4
SM-0149,CDE076,297667,7901720,Patos de Minas,0.16,2.37,2.0,228.0,10.1,0.08,0.2,0.12,62.42,27.6,68,2.05,32.1,2.14,5.3,0.13,0.2,0.02,0.04,22.6,4.0,85.02,0.1,240,0.5,0.86,61.9,1123.0,7.8,4.1,0.19,4.3,1.8,30.8,1.2,0.02,1.08,85,0.3,5.43,40,2.8
SM-0150A,CDE077,298245,7899098,Patos de Minas,0.5,5.9,2.0,104.0,6.1,0.19,0.1,0.07,229.58,2.7,201,2.86,177.8,2.14,11.9,0.2,0.05,0.03,0.03,162.5,3.0,392.08,0.05,48,0.81,1.55,27.0,594.0,25.5,3.7,0.4,12.5,3.0,14.6,3.4,0.04,3.03,172,0.2,35.52,16,6.1
SM-0151,CDE078,299434,7900851,Patos de Minas,0.55,3.59,1.0,191.0,30.5,0.1,0.2,0.22,112.97,155.1,163,2.71,58.7,2.83,7.5,0.2,0.06,0.03,0.04,40.1,5.0,153.07,0.09,1271,0.28,0.65,139.1,1151.0,16.3,4.4,0.17,5.6,2.1,40.0,1.4,0.01,2.21,77,0.2,23.76,31,2.8
SM-0152,CDE079,299921,7899374,Patos de Minas,0.22,3.62,1.0,291.0,5.3,0.13,0.3,0.16,72.13,9.4,79,2.96,32.4,1.62,7.2,0.08,0.09,0.02,0.06,26.6,6.0,98.73,0.1,102,0.55,0.8,42.4,1773.0,19.0,4.6,0.22,3.3,2.2,49.1,0.9,0.02,1.2,92,0.2,7.53,37,1.8
SM-0153,CDE080,301095,7899204,Patos de Minas,0.1,4.14,3.0,323.0,1.8,0.17,0.15,0.14,114.3,19.2,146,2.06,35.4,6.23,11.4,0.48,0.03,0.09,0.06,38.0,6.0,152.3,0.09,647,1.12,4.37,67.8,1098.0,16.4,8.4,0.38,12.5,3.3,45.2,10.1,0.12,1.74,157,0.2,8.56,43,25.7
SM-0154,CDE081,301541,7900851,Patos de Minas,0.08,3.21,3.0,268.0,1.2,0.11,0.09,0.09,87.69,12.7,126,1.19,26.6,5.32,8.2,0.35,0.02,0.04,0.05,27.5,2.0,115.19,0.09,335,1.16,4.21,44.2,1030.0,10.6,7.1,0.36,9.5,2.6,38.7,7.5,0.13,1.25,140,0.2,6.09,30,23.1
